--- Location Result ---
Origin Time: 2026-03-11T09:05:51.353142Z
Latitude: 37.4809
Longitude: 129.7177
Depth: 0.00 km
Magnitude: ML 3.16 (390 channels)
Used Stations: 34

=== Used Stations for Location ===
KS.JEU2.E    |    333.2 | 2.7777e-01 |  3.14
KS.YKDB.Z    |    342.8 | 1.1911e-01 |  2.76
KS.YKDB.N    |    342.8 | 8.9022e-02 |  2.67
KS.YKDB.E    |    342.8 | 1.1866e-01 |  2.80
KS.MSMB.Z    |    345.8 | 1.1603e-01 |  2.76
KS.MSMB.N    |    345.8 | 5.8801e-02 |  2.50
KS.MSMB.E    |    345.8 | 1.0861e-01 |  2.77
KS.MND.Z     |    348.3 | 3.7123e-01 |  3.27
KS.MND.N     |    348.3 | 1.1657e+00 |  3.80
KS.MND.E     |    348.3 | 6.9795e-01 |  3.58
KS.OYDB.Z    |    353.2 | 4.7677e-02 |  2.39
KS.OYDB.N    |    353.2 | 3.2869e-02 |  2.26
KS.OYDB.E    |    353.2 | 3.9849e-02 |  2.35
KS.YPDB.Z    |    354.4 | 2.1247e-01 |  3.04
KS.YPDB.N    |    354.4 | 2.0544e-01 |  3.06
KS.YPDB.E    |    354.4 | 1.7295e-01 |  2.99
KS.KWJ2.Z    |    355.3 | 2.3857e-01 |  3.09
KS.KWJ2.N    |    355.3 | 2.7456e-01 |  3.19
KS.KWJ2.E    |    355.3 | 2.6410e-01 |  3.17
KS.MNDB.Z    |    361.5 | 2.5594e-01 |  3.14
KS.MNDB.N    |    361.5 | 1.6166e-01 |  2.98
KS.MNDB.E    |    361.5 | 1.9351e-01 |  3.05
KS.ECDB.Z    |    366.2 | 3.1045e-01 |  3.23
KS.ECDB.N    |    366.2 | 2.2072e-01 |  3.12
KS.ECDB.E    |    366.2 | 2.6660e-01 |  3.20
KS.GOCB.Z    |    366.4 | 2.4585e-01 |  3.13
KS.GOCB.N    |    366.4 | 3.0846e-01 |  3.27
KS.GOCB.E    |    366.4 | 3.3422e-01 |  3.30
KS.DASB.Z    |    374.9 | 1.3172e-01 |  2.88
KS.DASB.N    |    374.9 | 1.1450e-01 |  2.86
KS.DASB.E    |    374.9 | 1.5047e-01 |  2.98
KS.YNDB.Z    |    379.9 | 9.5627e-02 |  2.75
KS.YNDB.N    |    379.9 | 7.7355e-02 |  2.70
KS.YNDB.E    |    379.9 | 9.4231e-02 |  2.78
KS.GBI2.Z    |    381.8 | 2.8614e-01 |  3.23
KS.GBI2.N    |    381.8 | 4.1491e-01 |  3.43
KS.GBI2.E    |    381.8 | 3.7076e-01 |  3.38
KS.KH2B.Z    |    386.3 | 1.6639e-01 |  3.01
KS.KH2B.N    |    386.3 | 1.3534e-01 |  2.96
KS.KH2B.E    |    386.3 | 1.5180e-01 |  3.01
KS.IJDB.Z    |    421.0 | 1.7034e-01 |  3.10
KS.IJDB.N    |    421.0 | 1.6968e-01 |  3.14
KS.IJDB.E    |    421.0 | 1.8958e-01 |  3.18
KS.MOPB.Z    |    421.3 | 2.8416e-01 |  3.32
KS.MOPB.N    |    421.3 | 1.9975e-01 |  3.21
KS.MOPB.E    |    421.3 | 2.1488e-01 |  3.24
KS.HANB.Z    |    431.3 | 2.0621e-01 |  3.20
KS.HANB.N    |    431.3 | 1.2152e-01 |  3.01
KS.HANB.E    |    431.3 | 1.5906e-01 |  3.13
KS.WAN2.Z    |    437.2 | 3.7950e-01 |  3.48
KS.WAN2.N    |    437.2 | 5.3020e-01 |  3.67
KS.WAN2.E    |    437.2 | 6.1540e-01 |  3.73
KS.JAEB.Z    |    439.8 | 1.5389e-01 |  3.09
KS.JAEB.N    |    439.8 | 1.8242e-01 |  3.21
KS.JAEB.E    |    439.8 | 1.2963e-01 |  3.06
KS.GMDB.Z    |    440.4 | 9.0904e-02 |  2.87
KS.GMDB.N    |    440.4 | 8.3179e-02 |  2.87
KS.GMDB.E    |    440.4 | 1.3200e-01 |  3.07
KS.DDCB.Z    |    443.8 | 1.7300e-01 |  3.15
KS.DDCB.N    |    443.8 | 3.4742e-01 |  3.50
KS.DDCB.E    |    443.8 | 2.0369e-01 |  3.27
KS.BAR2.Z    |    444.5 | 3.3513e-01 |  3.44
KS.BAR2.N    |    444.5 | 3.8494e-01 |  3.54
KS.BAR2.E    |    444.5 | 3.8819e-01 |  3.55
KS.CSDB.Z    |    446.1 | 1.0251e-01 |  2.93
KS.CSDB.N    |    446.1 | 1.1469e-01 |  3.02
KS.CSDB.E    |    446.1 | 1.0017e-01 |  2.96
KS.JDO2.Z    |    452.8 | 1.4884e-01 |  3.11
KS.JDO2.N    |    452.8 | 1.9349e-01 |  3.26
KS.JDO2.E    |    452.8 | 2.1289e-01 |  3.31
KS.BGDB.Z    |    453.3 | 2.2094e-01 |  3.28
KS.BGDB.N    |    453.3 | 1.9774e-01 |  3.27
KS.BGDB.E    |    453.3 | 2.1364e-01 |  3.31
KS.JODB.Z    |    483.3 | 1.5626e-01 |  3.20
KS.JODB.N    |    483.3 | 1.5032e-01 |  3.22
KS.JODB.E    |    483.3 | 1.2979e-01 |  3.16
KS.NHSB.Z    |    493.7 | 1.0816e-01 |  3.06
KS.NHSB.N    |    493.7 | 2.3401e-01 |  3.44
KS.NHSB.E    |    493.7 | 1.7344e-01 |  3.31
KS.CJD.Z     |    498.6 | 8.2796e-02 |  2.95
KS.CJD.N     |    498.6 | 7.8248e-02 |  2.97
KS.CJD.E     |    498.6 | 1.0437e-01 |  3.10
KS.UDO.Z     |    505.6 | 1.1228e-01 |  3.10
KS.UDO.N     |    505.6 | 1.6793e-01 |  3.32
KS.UDO.E     |    505.6 | 1.6549e-01 |  3.31
KS.HGDB.Z    |    510.0 | 1.0335e-01 |  3.07
KS.HGDB.N    |    510.0 | 6.6865e-02 |  2.93
KS.HGDB.E    |    510.0 | 1.1333e-01 |  3.16
KS.PYSB.Z    |    528.2 | 1.2478e-01 |  3.19
KS.PYSB.N    |    528.2 | 2.2583e-01 |  3.50
KS.PYSB.E    |    528.2 | 1.8646e-01 |  3.41
KS.MJDB.Z    |    528.3 | 1.1026e-01 |  3.14
KS.MJDB.N    |    528.3 | 1.0612e-01 |  3.17
KS.MJDB.E    |    528.3 | 1.2267e-01 |  3.23
KS.HLNE.Z    |    530.9 | 2.5999e-01 |  3.52
